"file","language","code","blank","comment"
".\src\tools\pmd-sky\ItemData.ts","TypeScript","1328","2","0"
".\src\app\(boffmedia)\styles\components\page.tsx","TypeScript","773","40","1"
".\src\app\smartrotom\pc\page.tsx","TypeScript","673","70","40"
".\src\tools\pmd-sky\PokemonData.ts","TypeScript","580","6","4"
".\src\app\(boffmedia)\(eventos)\eventos\[id]\logros\page.tsx","TypeScript","478","46","0"
".\src\app\smartrotom\pokedex\movimientos\_components\MoveEffect.tsx","TypeScript","475","26","0"
".\src\app\(boffmedia)\(herramientas)\otros\keys\_components\SteamDialog.tsx","TypeScript","472","33","2"
".\src\app\smartrotom\arcade\squirdle\_components\RetroPokemonGuesser.tsx","TypeScript","458","42","0"
".\src\tools\pmd-sky\Generate.ts","TypeScript","456","142","130"
".\src\app\smartrotom\chatapp\_components\Chat.tsx","TypeScript","402","58","24"
".\src\app\(boffmedia)\(eventos)\eventos\[id]\_components\AchievementsSection.tsx","TypeScript","401","47","15"
".\src\app\smartrotom\pc\components\filter\FilterPanel.tsx","TypeScript","393","22","7"
".\src\app\smartrotom\arcade\typedoku\page.tsx","TypeScript","380","40","3"
".\src\app\smartrotom\arcade\voltorb\_components\VoltorbFlipGame.tsx","TypeScript","374","49","3"
".\src\app\smartrotom\starbank\page.tsx","TypeScript","371","28","29"
".\src\lib\pokemonSpecParser.ts","TypeScript","364","66","10"
".\src\app\smartrotom\arcade\test\_components\PokemonAnimation.tsx","TypeScript","356","29","9"
".\src\app\smartrotom\pc\components\team\BattleTeamsPanel.tsx","TypeScript","350","29","3"
".\src\components\smartrotom\ficusai\CompletePokemonCard.tsx","TypeScript","340","29","8"
".\src\app\smartrotom\starbank\cuentas\page.tsx","TypeScript","338","29","4"
".\src\app\smartrotom\pokedex\entrada\[[...params]]\_components\StatsTable.tsx","TypeScript","337","26","7"
".\tailwind.config.ts","TypeScript","335","5","17"
".\src\app\smartrotom\starbank\_components\SendMoney.tsx","TypeScript","328","38","2"
".\src\components\common\map\StandardizedMap.tsx","TypeScript","327","60","25"
".\src\app\(boffmedia)\admin\events\_components\achievements\AchievementForm.tsx","TypeScript","312","18","0"
".\src\app\(boffmedia)\(herramientas)\mhwilds\tree\page.tsx","TypeScript","311","49","33"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\BuildHeader.tsx","TypeScript","311","24","13"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\BuildDisplay.tsx","TypeScript","310","23","57"
".\src\app\(boffmedia)\admin\events\_components\events\EventForm.tsx","TypeScript","309","19","1"
".\src\app\smartrotom\arcade\page.tsx","TypeScript","306","27","3"
".\src\app\smartrotom\starbank\transacciones\_components\TransactionsTable.tsx","TypeScript","301","10","1"
".\src\app\battlesim\_components\PokemonDetail.tsx","TypeScript","300","26","2"
".\src\components\smartrotom\MinecraftAuthForm.tsx","TypeScript","298","35","4"
".\src\app\(boffmedia)\_components\sections\EventsSection.tsx","TypeScript","298","27","4"
".\src\services\api\boffmedia\ptcgpService.ts","TypeScript","295","67","106"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\SkillsList.tsx","TypeScript","294","30","12"
".\src\app\smartrotom\admin\apps\page.tsx","TypeScript","288","20","10"
".\src\app\(boffmedia)\(herramientas)\otros\page.tsx","TypeScript","287","15","0"
".\src\app\smartrotom\pc\hooks\useFilterManagement.ts","TypeScript","281","46","23"
".\src\types\tools\mhwilds.ts","TypeScript","279","28","1"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\ComponentSlot.tsx","TypeScript","279","21","10"
".\tailwind.config copy.ts","TypeScript","274","5","18"
".\src\app\(boffmedia)\_components\UserProfile.tsx","TypeScript","273","30","17"
".\src\app\smartrotom\pokedex\dexUtils.tsx","TypeScript","272","37","4"
".\src\components\ui\primitives\dropdown-menu.tsx","TypeScript","265","41","1"
".\src\app\(boffmedia)\(herramientas)\pokemon\tcgpocket\cartas\[...params]\page.tsx","TypeScript","261","21","2"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\DecorationSelector.tsx","TypeScript","261","25","20"
".\src\app\battlesim\calc\_components\FieldSelector.tsx","TypeScript","260","18","3"
".\src\app\battlesim\_hooks\useBattleFlow.tsx","TypeScript","259","46","21"
".\src\services\mcef\mcefApi.ts","TypeScript","258","42","23"
".\src\app\smartrotom\pasaporte\_components\Badges.tsx","TypeScript","257","25","6"
".\src\app\(boffmedia)\(eventos)\eventos\[id]\_components\AchievementsSummary.tsx","TypeScript","257","26","9"
".\src\services\boffAPI.ts","TypeScript","254","46","6"
".\src\app\smartrotom\arcade\test\_components\PmdSprite2.tsx","TypeScript","253","37","0"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\EquipmentFilters.tsx","TypeScript","249","29","3"
".\src\app\smartrotom\furrettoday\leer\[id]\page.tsx","TypeScript","248","27","0"
".\src\app\smartrotom\pc\components\team\TeamSlot.tsx","TypeScript","245","18","3"
".\src\app\smartrotom\arcade\loot\_components\collection\ClaimRewardsModal.tsx","TypeScript","245","32","8"
".\src\app\smartrotom\pokedex\entrada\[[...params]]\_components\EvolutionConditions.tsx","TypeScript","243","31","4"
".\src\app\smartrotom\mewtwitch\_services\twitchAPI.ts","TypeScript","243","35","27"
".\src\app\smartrotom\pc\components\team\BattleTeamSlot.tsx","TypeScript","241","19","4"
".\src\app\smartrotom\(debug)\error-preview\page.tsx","TypeScript","241","24","2"
".\src\app\(boffmedia)\(herramientas)\pokemon\tcgpocket\_components\PlayerGallery.tsx","TypeScript","240","24","0"
".\src\components\ui\primitives\image-upload.tsx","TypeScript","239","28","4"
".\src\app\battlesim\calc\_hooks\usePokemonPanelHandlers.ts","TypeScript","233","36","19"
".\src\app\smartrotom\furrettoday\_components\PopStyles.tsx","TypeScript","232","41","16"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\equipment-utils.ts","TypeScript","230","36","16"
".\src\app\smartrotom\starbank\graficas\page.tsx","TypeScript","229","30","22"
".\src\app\smartrotom\mina\jugar\page.tsx","TypeScript","229","27","7"
".\src\components\ui\navigation\RotomNav.tsx","TypeScript","227","12","12"
".\src\app\smartrotom\pc\components\box\BoxHeader.tsx","TypeScript","227","18","4"
".\src\app\(boffmedia)\(herramientas)\herramientas\page.tsx","TypeScript","226","15","1"
".\src\tools\pmd-sky\DungeonData.ts","TypeScript","224","5","1"
".\src\app\battlesim\calc\_hooks\useDamageCalculation.ts","TypeScript","218","30","19"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\EquipmentSelector.tsx","TypeScript","218","26","14"
".\src\app\wingull\pueblos\[pueblo]\_components\properties\PropertyCard.tsx","TypeScript","214","11","2"
".\src\app\smartrotom\taxi\page.tsx","TypeScript","212","35","1"
".\src\app\smartrotom\chatapp\_components\Message.tsx","TypeScript","211","19","2"
".\src\app\smartrotom\starbank\transacciones\page.tsx","TypeScript","210","25","2"
".\src\app\(boffmedia)\logros\page.tsx","TypeScript","209","8","0"
".\src\components\ui\primitives\command.tsx","TypeScript","206","37","0"
".\src\app\wingull\pueblos\[pueblo]\_components\map\MarkerDetailsPanel.tsx","TypeScript","205","15","2"
".\src\app\smartrotom\chatapp\_components\Contact.tsx","TypeScript","205","15","0"
".\src\app\smartrotom\admin\carteles\page.tsx","TypeScript","204","14","1"
".\src\app\wingull\invitacion\[id]\_components\InvitacionForm.tsx","TypeScript","203","7","0"
".\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\SavedBuildsManager.tsx","TypeScript","201","14","2"
