Top files by lines of code
(code | language | file)
      1328 | TypeScript | .\src\tools\pmd-sky\ItemData.ts
       773 | TypeScript | .\src\app\(boffmedia)\styles\components\page.tsx
       673 | TypeScript | .\src\app\smartrotom\pc\page.tsx
       580 | TypeScript | .\src\tools\pmd-sky\PokemonData.ts
       478 | TypeScript | .\src\app\(boffmedia)\(eventos)\eventos\[id]\logros\page.tsx
       475 | TypeScript | .\src\app\smartrotom\pokedex\movimientos\_components\MoveEffect.tsx
       472 | TypeScript | .\src\app\(boffmedia)\(herramientas)\otros\keys\_components\SteamDialog.tsx
       458 | TypeScript | .\src\app\smartrotom\arcade\squirdle\_components\RetroPokemonGuesser.tsx
       456 | TypeScript | .\src\tools\pmd-sky\Generate.ts
       402 | TypeScript | .\src\app\smartrotom\chatapp\_components\Chat.tsx
       401 | TypeScript | .\src\app\(boffmedia)\(eventos)\eventos\[id]\_components\AchievementsSection.tsx
       393 | TypeScript | .\src\app\smartrotom\pc\components\filter\FilterPanel.tsx
       380 | TypeScript | .\src\app\smartrotom\arcade\typedoku\page.tsx
       374 | TypeScript | .\src\app\smartrotom\arcade\voltorb\_components\VoltorbFlipGame.tsx
       371 | TypeScript | .\src\app\smartrotom\starbank\page.tsx
       364 | TypeScript | .\src\lib\pokemonSpecParser.ts
       356 | TypeScript | .\src\app\smartrotom\arcade\test\_components\PokemonAnimation.tsx
       350 | TypeScript | .\src\app\smartrotom\pc\components\team\BattleTeamsPanel.tsx
       340 | TypeScript | .\src\components\smartrotom\ficusai\CompletePokemonCard.tsx
       338 | TypeScript | .\src\app\smartrotom\starbank\cuentas\page.tsx
       337 | TypeScript | .\src\app\smartrotom\pokedex\entrada\[[...params]]\_components\StatsTable.tsx
       335 | TypeScript | .\tailwind.config.ts
       328 | TypeScript | .\src\app\smartrotom\starbank\_components\SendMoney.tsx
       327 | TypeScript | .\src\components\common\map\StandardizedMap.tsx
       312 | TypeScript | .\src\app\(boffmedia)\admin\events\_components\achievements\AchievementForm.tsx
       311 | TypeScript | .\src\app\(boffmedia)\(herramientas)\mhwilds\tree\page.tsx
       311 | TypeScript | .\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\BuildHeader.tsx
       310 | TypeScript | .\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\BuildDisplay.tsx
       309 | TypeScript | .\src\app\(boffmedia)\admin\events\_components\events\EventForm.tsx
       306 | TypeScript | .\src\app\smartrotom\arcade\page.tsx
       301 | TypeScript | .\src\app\smartrotom\starbank\transacciones\_components\TransactionsTable.tsx
       300 | TypeScript | .\src\app\battlesim\_components\PokemonDetail.tsx
       298 | TypeScript | .\src\components\smartrotom\MinecraftAuthForm.tsx
       298 | TypeScript | .\src\app\(boffmedia)\_components\sections\EventsSection.tsx
       295 | TypeScript | .\src\services\api\boffmedia\ptcgpService.ts
       294 | TypeScript | .\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\SkillsList.tsx
       288 | TypeScript | .\src\app\smartrotom\admin\apps\page.tsx
       287 | TypeScript | .\src\app\(boffmedia)\(herramientas)\otros\page.tsx
       281 | TypeScript | .\src\app\smartrotom\pc\hooks\useFilterManagement.ts
       279 | TypeScript | .\src\types\tools\mhwilds.ts
       279 | TypeScript | .\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\ComponentSlot.tsx
       274 | TypeScript | .\tailwind.config copy.ts
       273 | TypeScript | .\src\app\(boffmedia)\_components\UserProfile.tsx
       272 | TypeScript | .\src\app\smartrotom\pokedex\dexUtils.tsx
       265 | TypeScript | .\src\components\ui\primitives\dropdown-menu.tsx
       261 | TypeScript | .\src\app\(boffmedia)\(herramientas)\pokemon\tcgpocket\cartas\[...params]\page.tsx
       261 | TypeScript | .\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\DecorationSelector.tsx
       260 | TypeScript | .\src\app\battlesim\calc\_components\FieldSelector.tsx
       259 | TypeScript | .\src\app\battlesim\_hooks\useBattleFlow.tsx
       258 | TypeScript | .\src\services\mcef\mcefApi.ts
       257 | TypeScript | .\src\app\smartrotom\pasaporte\_components\Badges.tsx
       257 | TypeScript | .\src\app\(boffmedia)\(eventos)\eventos\[id]\_components\AchievementsSummary.tsx
       254 | TypeScript | .\src\services\boffAPI.ts
       253 | TypeScript | .\src\app\smartrotom\arcade\test\_components\PmdSprite2.tsx
       249 | TypeScript | .\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\EquipmentFilters.tsx
       248 | TypeScript | .\src\app\smartrotom\furrettoday\leer\[id]\page.tsx
       245 | TypeScript | .\src\app\smartrotom\pc\components\team\TeamSlot.tsx
       245 | TypeScript | .\src\app\smartrotom\arcade\loot\_components\collection\ClaimRewardsModal.tsx
       243 | TypeScript | .\src\app\smartrotom\pokedex\entrada\[[...params]]\_components\EvolutionConditions.tsx
       243 | TypeScript | .\src\app\smartrotom\mewtwitch\_services\twitchAPI.ts
       241 | TypeScript | .\src\app\smartrotom\pc\components\team\BattleTeamSlot.tsx
       241 | TypeScript | .\src\app\smartrotom\(debug)\error-preview\page.tsx
       240 | TypeScript | .\src\app\(boffmedia)\(herramientas)\pokemon\tcgpocket\_components\PlayerGallery.tsx
       239 | TypeScript | .\src\components\ui\primitives\image-upload.tsx
       233 | TypeScript | .\src\app\battlesim\calc\_hooks\usePokemonPanelHandlers.ts
       232 | TypeScript | .\src\app\smartrotom\furrettoday\_components\PopStyles.tsx
       230 | TypeScript | .\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\equipment-utils.ts
       229 | TypeScript | .\src\app\smartrotom\starbank\graficas\page.tsx
       229 | TypeScript | .\src\app\smartrotom\mina\jugar\page.tsx
       227 | TypeScript | .\src\components\ui\navigation\RotomNav.tsx
       227 | TypeScript | .\src\app\smartrotom\pc\components\box\BoxHeader.tsx
       226 | TypeScript | .\src\app\(boffmedia)\(herramientas)\herramientas\page.tsx
       224 | TypeScript | .\src\tools\pmd-sky\DungeonData.ts
       218 | TypeScript | .\src\app\battlesim\calc\_hooks\useDamageCalculation.ts
       218 | TypeScript | .\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\EquipmentSelector.tsx
       214 | TypeScript | .\src\app\wingull\pueblos\[pueblo]\_components\properties\PropertyCard.tsx
       212 | TypeScript | .\src\app\smartrotom\taxi\page.tsx
       211 | TypeScript | .\src\app\smartrotom\chatapp\_components\Message.tsx
       210 | TypeScript | .\src\app\smartrotom\starbank\transacciones\page.tsx
       209 | TypeScript | .\src\app\(boffmedia)\logros\page.tsx
       206 | TypeScript | .\src\components\ui\primitives\command.tsx
       205 | TypeScript | .\src\app\wingull\pueblos\[pueblo]\_components\map\MarkerDetailsPanel.tsx
       205 | TypeScript | .\src\app\smartrotom\chatapp\_components\Contact.tsx
       204 | TypeScript | .\src\app\smartrotom\admin\carteles\page.tsx
       203 | TypeScript | .\src\app\wingull\invitacion\[id]\_components\InvitacionForm.tsx
       201 | TypeScript | .\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_components\SavedBuildsManager.tsx
       200 | TypeScript | .\src\app\smartrotom\pc\components\box\PokemonSlot.tsx
       198 | TypeScript | .\src\app\wingull\pueblos\page.tsx
       198 | TypeScript | .\src\app\smartrotom\admin\page.tsx
       198 | TypeScript | .\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_hooks\useGameData.tsx
       196 | TypeScript | .\src\app\smartrotom\bidkea\page.tsx
       196 | TypeScript | .\src\app\smartrotom\admin\arceuspeak\_components\CharacterCreator.tsx
       195 | TypeScript | .\src\app\battlesim\_components\BattlePreview.tsx
       194 | TypeScript | .\src\hooks\useBaseSpinnerAnimation.ts
       194 | TypeScript | .\src\app\showdown\page.tsx
       193 | TypeScript | .\src\types\Pokemon.ts
       193 | TypeScript | .\src\app\smartrotom\pc\components\details\PokemonDetails.tsx
       193 | TypeScript | .\src\app\battlesim\dex\_hooks\useFilteredPokemon.ts
       192 | TypeScript | .\src\app\(boffmedia)\(herramientas)\pokemon\tcgpocket\_components\PlayerGalleryHeader.tsx
       191 | TypeScript | .\src\components\smartrotom\calls\CallStatus.tsx
       190 | TypeScript | .\src\components\ui\primitives\table.tsx
       190 | TypeScript | .\src\features\authOptions.ts
       190 | TypeScript | .\src\hooks\_main\useArcadeStreak.ts
       190 | TypeScript | .\src\app\(boffmedia)\(herramientas)\mhwilds\builds\planner\_utils\buildUtils.ts
       190 | TypeScript | .\src\app\smartrotom\taxi\components\ListView.tsx
       190 | TypeScript | .\src\components\smartrotom\RotomErrorSystem.ts
